date,site_id,latitude,longitude,GHI_Wm2,DNI_Wm2,DiffuseIrr_Wm2,ClearSkyGHI_Wm2,WindSpeed_2m_ms,WindSpeed_10m_ms,WindSpeed_50m_ms,WindDir_10m_deg,WindDir_50m_deg,Temp_2m_C,TempMax_2m_C,TempMin_2m_C,RelHumidity_pct,Precip_mm,CloudAmount_pct,site_name
2000-01-01,esoit_001,-1.8304,36.8245,7.3726,,1.3608,7.5115,3.4,4.87,6.89,61.2,60.5,20.67,29.2,13.65,66.14,0.04,53.4,Esoit Village (Eiti Primary School)
2000-01-02,esoit_001,-1.8304,36.8245,6.5544,,3.5472,7.5089,3.79,5.38,7.25,65.0,64.7,20.78,28.91,14.1,67.68,0.14,63.1,Esoit Village (Eiti Primary School)
2000-01-03,esoit_001,-1.8304,36.8245,6.7212,,2.6256,7.525,4.03,5.71,7.42,69.1,68.7,20.38,27.55,15.49,69.9,0.54,81.7,Esoit Village (Eiti Primary School)
2000-01-04,esoit_001,-1.8304,36.8245,7.2871,,1.4376,7.5214,4.02,5.72,7.64,66.5,66.2,19.36,26.85,14.02,67.83,0.07,39.5,Esoit Village (Eiti Primary School)
2000-01-05,esoit_001,-1.8304,36.8245,7.5826,,0.7896,7.7477,3.76,5.39,7.51,73.1,72.3,19.45,28.03,12.26,65.21,0.3,1.2,Esoit Village (Eiti Primary School)
2000-01-06,esoit_001,-1.8304,36.8245,7.4765,,1.2456,7.6145,3.55,5.04,6.87,70.1,69.8,20.55,29.23,13.94,64.77,0.02,12.9,Esoit Village (Eiti Primary School)
2000-01-07,esoit_001,-1.8304,36.8245,7.3046,,1.3824,7.5845,3.53,5.04,6.98,55.5,55.4,20.84,29.14,13.84,64.25,0.07,27.4,Esoit Village (Eiti Primary School)
2000-01-08,esoit_001,-1.8304,36.8245,6.7613,,2.3544,7.4882,3.9,5.54,7.51,52.9,52.2,21.32,29.37,14.7,56.74,0.01,71.7,Esoit Village (Eiti Primary School)
2000-01-09,esoit_001,-1.8304,36.8245,6.8234,,2.5104,7.3385,3.76,5.32,7.07,50.4,50.2,21.57,29.14,15.68,58.71,0.01,60.7,Esoit Village (Eiti Primary School)
2000-01-10,esoit_001,-1.8304,36.8245,6.7514,,2.3616,7.5082,3.61,5.17,7.24,53.6,52.6,21.2,29.22,14.97,54.97,0.01,52.7,Esoit Village (Eiti Primary School)
2000-01-11,esoit_001,-1.8304,36.8245,7.5533,,0.9144,7.6601,3.26,4.73,6.73,52.3,51.8,20.85,29.48,13.19,59.22,0.27,24.0,Esoit Village (Eiti Primary School)
2000-01-12,esoit_001,-1.8304,36.8245,7.4623,,1.0104,7.6553,4.06,5.79,7.87,53.8,54.0,21.46,29.91,14.27,61.19,0.2,3.4,Esoit Village (Eiti Primary School)
2000-01-13,esoit_001,-1.8304,36.8245,7.4347,,1.1256,7.6601,4.64,6.62,8.82,58.1,57.7,21.19,28.85,14.98,63.07,0.47,28.5,Esoit Village (Eiti Primary School)
2000-01-14,esoit_001,-1.8304,36.8245,7.9627,,0.8712,8.0268,3.97,5.71,7.98,56.9,55.5,20.28,29.04,13.0,56.21,0.24,16.1,Esoit Village (Eiti Primary School)
2000-01-15,esoit_001,-1.8304,36.8245,7.6298,,0.8976,7.8146,3.85,5.56,7.82,58.4,56.5,20.44,29.54,12.49,50.28,0.01,9.7,Esoit Village (Eiti Primary School)
2000-01-16,esoit_001,-1.8304,36.8245,7.668,,1.0104,7.7234,3.52,5.06,7.17,59.9,59.0,21.03,30.99,12.31,47.05,0.02,10.8,Esoit Village (Eiti Primary School)
2000-01-17,esoit_001,-1.8304,36.8245,7.549,,1.2408,7.6862,3.43,4.9,6.88,69.8,68.2,21.8,31.71,13.07,46.67,0.0,19.1,Esoit Village (Eiti Primary School)
2000-01-18,esoit_001,-1.8304,36.8245,7.1558,,2.1384,7.5895,3.44,4.89,6.63,71.4,69.2,22.02,31.43,13.37,51.06,0.01,45.5,Esoit Village (Eiti Primary School)
2000-01-19,esoit_001,-1.8304,36.8245,7.3087,,1.7328,7.5101,3.61,5.09,6.69,69.9,68.9,21.53,29.91,14.12,58.73,0.23,45.3,Esoit Village (Eiti Primary School)
2000-01-20,esoit_001,-1.8304,36.8245,7.1875,,1.9416,7.6008,3.55,5.04,6.83,72.9,72.2,22.11,31.32,13.99,54.14,0.12,36.5,Esoit Village (Eiti Primary School)
2000-01-21,esoit_001,-1.8304,36.8245,5.9165,,4.2792,6.9348,3.3,4.64,6.04,75.9,75.2,21.56,30.7,14.43,59.58,0.35,66.1,Esoit Village (Eiti Primary School)
2000-01-22,esoit_001,-1.8304,36.8245,7.1213,,1.9344,7.4873,4.08,5.72,7.26,73.5,73.1,22.05,30.68,15.45,60.63,0.14,51.9,Esoit Village (Eiti Primary School)
2000-01-23,esoit_001,-1.8304,36.8245,7.0032,,2.3736,7.6567,4.44,6.29,8.04,74.6,73.9,20.53,28.09,15.68,70.35,1.56,55.1,Esoit Village (Eiti Primary School)
2000-01-24,esoit_001,-1.8304,36.8245,5.5666,,4.3008,7.6198,4.58,6.47,8.3,68.8,68.5,21.09,28.77,15.38,66.38,0.31,93.1,Esoit Village (Eiti Primary School)
2000-01-25,esoit_001,-1.8304,36.8245,7.2732,,1.908,7.7527,4.51,6.42,8.51,63.7,63.0,20.74,28.59,15.14,64.88,2.03,38.7,Esoit Village (Eiti Primary School)
2000-01-26,esoit_001,-1.8304,36.8245,7.7112,,0.972,7.8648,4.24,6.13,8.58,57.9,57.0,20.45,30.18,12.44,47.35,0.03,0.0,Esoit Village (Eiti Primary School)
2000-01-27,esoit_001,-1.8304,36.8245,8.3467,,1.0512,8.4511,3.83,5.57,8.09,52.7,50.3,20.82,31.38,11.37,37.46,0.0,10.2,Esoit Village (Eiti Primary School)
2000-01-28,esoit_001,-1.8304,36.8245,7.9188,,0.9888,8.0484,2.98,4.34,6.36,50.9,48.6,22.25,32.94,12.59,34.48,0.0,0.8,Esoit Village (Eiti Primary School)
2000-01-29,esoit_001,-1.8304,36.8245,7.7779,,1.0824,7.9529,3.07,4.38,5.97,54.6,52.9,23.06,32.77,15.36,35.22,0.01,0.8,Esoit Village (Eiti Primary School)
2000-01-30,esoit_001,-1.8304,36.8245,7.668,,1.2624,7.849,3.97,5.64,7.5,54.4,52.6,22.41,32.15,14.17,39.23,0.0,1.0,Esoit Village (Eiti Primary School)
2000-01-31,esoit_001,-1.8304,36.8245,7.6658,,1.2288,7.8209,4.6,6.57,8.81,55.6,54.7,21.53,30.72,14.81,40.28,0.0,15.9,Esoit Village (Eiti Primary School)
2000-02-01,esoit_001,-1.8304,36.8245,7.9176,,0.8736,8.0561,4.08,5.8,7.73,61.4,60.2,21.04,30.98,12.18,49.17,0.0,7.4,Esoit Village (Eiti Primary School)
2000-02-02,esoit_001,-1.8304,36.8245,7.1417,,2.8008,7.781,2.92,4.15,5.64,58.3,56.3,23.06,32.17,13.86,48.25,0.05,41.0,Esoit Village (Eiti Primary School)
2000-02-03,esoit_001,-1.8304,36.8245,6.9379,,3.2208,7.7858,2.98,4.15,5.31,54.9,54.7,23.03,30.61,17.54,50.15,0.22,46.3,Esoit Village (Eiti Primary School)
