date,site_id,latitude,longitude,GHI_Wm2,DNI_Wm2,DiffuseIrr_Wm2,ClearSkyGHI_Wm2,WindSpeed_2m_ms,WindSpeed_10m_ms,WindDir_10m_deg,Temp_2m_C,TempMax_2m_C,TempMin_2m_C,RelHumidity_pct,Precip_mm,CloudAmount_pct
2000-01-01,kalinditi_001,-1.065,38.025,5.6772,,4.2744,7.1203,0.28,1.69,41.3,23.92,31.87,18.37,64.0,0.11,41.5
2000-01-02,kalinditi_001,-1.065,38.025,4.8007,,3.9144,7.0896,0.12,1.73,69.1,23.53,30.89,17.32,71.1,0.43,50.1
2000-01-03,kalinditi_001,-1.065,38.025,4.7822,,3.732,7.1242,0.11,1.87,71.8,22.72,30.22,17.87,71.64,0.35,49.4
2000-01-04,kalinditi_001,-1.065,38.025,5.407,,3.972,7.1981,0.12,1.9,68.9,22.34,30.22,16.65,68.87,0.02,38.4
2000-01-05,kalinditi_001,-1.065,38.025,5.5522,,4.5,7.1453,0.13,1.77,87.6,22.81,31.15,15.46,66.85,0.34,47.7
2000-01-06,kalinditi_001,-1.065,38.025,6.0905,,4.2696,7.1378,0.11,1.74,71.9,23.58,31.92,16.97,65.7,0.04,26.8
2000-01-07,kalinditi_001,-1.065,38.025,4.8763,,3.8832,7.0973,0.25,2.02,41.3,23.87,31.8,18.48,59.88,0.03,44.9
2000-01-08,kalinditi_001,-1.065,38.025,4.6202,,3.8736,7.2814,0.23,2.04,38.1,23.71,31.93,17.27,57.48,0.0,58.8
2000-01-09,kalinditi_001,-1.065,38.025,5.5639,,4.668,7.0054,0.18,2.16,40.9,23.56,31.92,16.73,59.47,0.0,47.5
2000-01-10,kalinditi_001,-1.065,38.025,6.3454,,4.2816,7.1911,0.22,2.16,34.7,23.33,32.27,16.54,55.43,0.01,21.3
2000-01-11,kalinditi_001,-1.065,38.025,6.5894,,3.6336,7.2091,0.22,1.78,45.9,23.84,32.15,17.59,58.59,0.07,13.7
2000-01-12,kalinditi_001,-1.065,38.025,5.6906,,4.1304,7.2305,0.29,2.09,43.0,24.11,32.53,17.4,62.15,0.11,39.3
2000-01-13,kalinditi_001,-1.065,38.025,5.4017,,4.368,7.1918,0.17,2.33,51.1,24.22,32.27,17.42,60.06,0.17,47.5
2000-01-14,kalinditi_001,-1.065,38.025,5.7206,,4.2,7.1729,0.17,2.23,41.4,22.8,32.01,15.53,53.27,0.01,36.0
2000-01-15,kalinditi_001,-1.065,38.025,4.8794,,3.3456,7.249,0.3,2.24,39.1,22.85,31.57,15.02,51.41,0.02,40.0
2000-01-16,kalinditi_001,-1.065,38.025,6.5155,,4.0536,7.2535,0.31,1.95,47.9,23.21,32.74,16.56,48.1,0.04,25.1
2000-01-17,kalinditi_001,-1.065,38.025,6.1802,,3.1008,7.3286,0.34,1.82,73.5,23.79,33.68,15.99,51.55,0.01,33.3
2000-01-18,kalinditi_001,-1.065,38.025,6.145,,3.66,7.2641,0.29,1.88,88.7,24.59,33.24,16.29,54.1,0.15,29.4
2000-01-19,kalinditi_001,-1.065,38.025,4.8552,,4.272,7.0442,0.14,1.88,78.6,24.11,31.54,17.86,61.32,0.44,60.3
2000-01-20,kalinditi_001,-1.065,38.025,5.6976,,3.4032,7.3471,0.16,1.9,80.8,25.08,33.89,16.83,55.6,0.34,54.7
2000-01-21,kalinditi_001,-1.065,38.025,6.859,,3.3816,7.338,0.15,1.77,87.9,24.79,32.57,18.08,60.05,0.21,18.0
2000-01-22,kalinditi_001,-1.065,38.025,6.8599,,2.9472,7.3577,0.16,2.05,74.9,25.41,32.46,18.96,58.75,0.15,11.5
2000-01-23,kalinditi_001,-1.065,38.025,4.6661,,4.0224,7.3435,0.18,2.08,84.3,23.82,30.45,19.05,67.12,0.68,62.3
2000-01-24,kalinditi_001,-1.065,38.025,5.5106,,4.86,7.3428,0.2,2.33,68.1,23.8,30.74,18.75,65.15,0.22,79.7
2000-01-25,kalinditi_001,-1.065,38.025,5.4931,,4.344,7.326,0.2,2.39,58.2,23.75,31.12,18.28,62.02,0.92,50.8
2000-01-26,kalinditi_001,-1.065,38.025,7.4158,,1.3512,7.5917,0.4,2.39,38.1,22.77,32.14,15.49,49.06,0.0,12.9
2000-01-27,kalinditi_001,-1.065,38.025,7.4702,,1.0368,7.6003,0.32,2.36,29.5,22.74,32.49,13.94,43.76,0.0,5.1
2000-01-28,kalinditi_001,-1.065,38.025,7.5144,,0.984,7.5948,0.39,2.16,32.3,23.25,33.8,13.41,42.0,0.0,2.5
2000-01-29,kalinditi_001,-1.065,38.025,6.9312,,1.6176,7.4962,0.31,2.06,31.4,23.31,32.98,16.51,43.54,0.0,25.9
2000-01-30,kalinditi_001,-1.065,38.025,6.9427,,1.6584,7.4808,0.37,2.4,31.8,23.05,32.57,15.13,45.59,0.0,28.6
2000-01-31,kalinditi_001,-1.065,38.025,6.7248,,2.1192,7.3514,0.3,2.49,35.2,22.49,32.05,14.14,49.42,0.0,58.0
2000-02-01,kalinditi_001,-1.065,38.025,5.3333,,3.0312,7.5175,0.27,2.07,49.9,23.21,32.08,15.94,53.58,0.0,60.6
2000-02-02,kalinditi_001,-1.065,38.025,6.9744,,2.424,7.4746,0.28,1.87,50.4,25.22,34.34,18.59,51.01,0.0,14.0
2000-02-03,kalinditi_001,-1.065,38.025,7.2194,,2.088,7.4926,0.31,2.01,51.2,24.93,33.21,18.83,54.3,0.0,23.3
2000-02-04,kalinditi_001,-1.065,38.025,7.218,,2.1192,7.5389,0.23,2.0,66.2,24.17,33.46,16.97,56.51,0.0,7.7
2000-02-05,kalinditi_001,-1.065,38.025,5.9287,,3.1416,7.4218,0.25,2.18,56.8,23.98,32.83,17.11,51.3,0.01,36.5
2000-02-06,kalinditi_001,-1.065,38.025,6.9086,,3.4248,7.6536,0.26,2.07,85.4,23.88,33.5,15.73,54.92,0.09,35.6
2000-02-07,kalinditi_001,-1.065,38.025,7.044,,2.1096,7.5353,0.26,2.09,120.0,25.11,34.5,16.39,55.02,0.05,15.5
2000-02-08,kalinditi_001,-1.065,38.025,7.278,,1.5672,7.5221,0.22,1.78,116.0,25.32,34.93,16.88,53.85,0.05,14.1
2000-02-09,kalinditi_001,-1.065,38.025,7.295,,1.68,7.5732,0.27,2.05,92.1,25.55,34.15,17.45,54.0,0.14,10.3
2000-02-10,kalinditi_001,-1.065,38.025,7.3536,,1.7016,7.589,0.29,2.31,74.7,25.04,33.48,18.05,53.11,0.0,10.9
2000-02-11,kalinditi_001,-1.065,38.025,6.289,,3.78,7.3702,0.32,2.33,71.3,24.16,32.55,17.42,52.6,0.0,41.7
2000-02-12,kalinditi_001,-1.065,38.025,6.9722,,2.484,7.4542,0.28,2.01,76.3,23.52,32.44,17.48,56.76,0.0,43.6
2000-02-13,kalinditi_001,-1.065,38.025,7.6241,,0.936,7.7642,0.28,1.98,78.1,24.1,33.66,15.73,53.67,0.0,1.4
2000-02-14,kalinditi_001,-1.065,38.025,7.6771,,0.852,7.8036,0.41,2.03,53.6,25.74,35.06,17.78,43.84,0.0,4.5
2000-02-15,kalinditi_001,-1.065,38.025,7.6548,,1.08,7.7882,0.36,2.29,57.8,24.91,34.32,16.99,50.67,0.0,3.7
2000-02-16,kalinditi_001,-1.065,38.025,5.7538,,3.0504,7.6486,0.41,2.39,53.4,24.3,33.3,15.99,50.52,0.0,59.2
2000-02-17,kalinditi_001,-1.065,38.025,5.8111,,2.94,7.6894,0.36,2.27,45.4,24.09,32.97,16.83,47.87,0.0,52.4
2000-02-18,kalinditi_001,-1.065,38.025,7.0944,,3.3,7.5934,0.33,2.32,31.6,23.64,31.42,16.84,47.94,0.0,42.7
2000-02-19,kalinditi_001,-1.065,38.025,6.5155,,2.6808,7.7534,0.41,2.5,26.6,23.31,32.41,16.22,48.47,0.0,83.3
2000-02-20,kalinditi_001,-1.065,38.025,7.5535,,1.2696,7.7558,0.43,2.3,33.6,23.3,33.13,15.83,42.86,0.0,5.0
2000-02-21,kalinditi_001,-1.065,38.025,7.6829,,0.8568,7.7861,0.37,2.3,38.7,22.8,31.74,14.1,42.42,0.0,19.7
2000-02-22,kalinditi_001,-1.065,38.025,7.5802,,1.2696,7.77,0.51,2.16,38.5,24.48,34.75,17.22,33.89,0.0,49.7
2000-02-23,kalinditi_001,-1.065,38.025,7.6637,,1.1256,7.7976,0.49,2.17,34.1,24.88,35.31,17.77,34.52,0.0,2.4
2000-02-24,kalinditi_001,-1.065,38.025,7.4479,,1.4088,7.7467,0.42,2.23,66.0,24.4,34.51,16.38,42.29,0.0,9.1
2000-02-25,kalinditi_001,-1.065,38.025,6.9732,,1.9608,7.5979,0.34,2.13,85.0,24.36,34.07,17.31,53.61,0.07,36.3
2000-02-26,kalinditi_001,-1.065,38.025,5.7346,,2.9856,7.614,0.32,1.99,81.3,24.94,34.79,17.0,53.93,0.09,56.5
2000-02-27,kalinditi_001,-1.065,38.025,7.5936,,1.0368,7.7683,0.41,2.01,58.6,26.48,36.56,17.34,42.51,0.12,6.6
2000-02-28,kalinditi_001,-1.065,38.025,7.6553,,0.8952,7.7914,0.34,2.13,103.7,26.39,36.01,17.78,48.87,0.41,0.7
2000-02-29,kalinditi_001,-1.065,38.025,7.6003,,0.864,7.7633,0.33,2.04,76.4,26.15,35.77,17.91,48.99,0.1,0.3
2000-03-01,kalinditi_001,-1.065,38.025,7.02,,3.2328,7.6051,0.42,1.98,51.4,26.47,34.52,18.52,45.18,1.0,40.5
2000-03-02,kalinditi_001,-1.065,38.025,6.6569,,3.432,7.5614,0.53,2.06,50.2,26.27,35.44,19.53,41.46,0.04,86.0
2000-03-03,kalinditi_001,-1.065,38.025,6.8604,,2.7072,7.5439,0.41,1.91,80.4,26.05,34.03,17.88,49.49,0.11,3.6
2000-03-04,kalinditi_001,-1.065,38.025,4.2612,,3.624,7.5206,0.35,2.07,89.2,26.13,33.07,19.91,56.22,0.33,60.0
2000-03-05,kalinditi_001,-1.065,38.025,4.4825,,4.0032,7.5559,0.41,2.32,75.3,26.24,33.52,20.38,58.28,0.19,65.7
2000-03-06,kalinditi_001,-1.065,38.025,5.743,,3.7536,7.5221,0.39,2.18,89.9,26.19,32.68,20.2,58.2,0.27,58.6
2000-03-07,kalinditi_001,-1.065,38.025,5.3441,,2.9088,7.6766,0.37,2.04,92.2,26.28,34.38,19.85,55.01,0.17,51.1
2000-03-08,kalinditi_001,-1.065,38.025,5.5481,,5.244,7.6879,0.38,2.14,88.6,25.76,33.89,19.57,55.08,0.08,92.3
2000-03-09,kalinditi_001,-1.065,38.025,7.434,,1.3344,7.7568,0.37,1.83,90.6,24.25,32.6,18.2,53.38,0.04,38.1
2000-03-10,kalinditi_001,-1.065,38.025,7.4023,,1.6272,7.6985,0.49,2.15,104.9,26.41,35.2,17.9,45.99,0.0,19.2
2000-03-11,kalinditi_001,-1.065,38.025,7.183,,2.4408,7.6154,0.43,2.27,103.5,26.67,35.19,19.74,53.76,0.03,16.4
2000-03-12,kalinditi_001,-1.065,38.025,6.7992,,4.224,7.3817,0.43,2.24,101.3,26.13,32.96,19.82,59.32,0.69,47.6
2000-03-13,kalinditi_001,-1.065,38.025,7.4604,,1.3608,7.6829,0.42,2.2,103.6,26.69,35.44,19.08,54.38,0.18,0.6
2000-03-14,kalinditi_001,-1.065,38.025,6.8652,,3.996,7.5746,0.42,2.13,109.4,26.53,34.56,19.83,57.4,0.64,37.7
2000-03-15,kalinditi_001,-1.065,38.025,6.815,,4.0968,7.4909,0.47,2.38,115.5,26.72,34.77,19.93,54.6,0.22,43.8
2000-03-16,kalinditi_001,-1.065,38.025,5.779,,4.668,7.2991,0.44,2.24,108.3,26.24,33.72,20.27,55.47,0.86,31.0
2000-03-17,kalinditi_001,-1.065,38.025,5.9234,,4.9536,7.2991,0.44,2.24,102.8,26.15,34.27,19.5,57.88,0.87,40.3
2000-03-18,kalinditi_001,-1.065,38.025,6.0686,,5.028,7.2662,0.46,2.3,105.2,26.16,33.66,19.42,59.03,0.21,44.6
2000-03-19,kalinditi_001,-1.065,38.025,6.2986,,4.32,7.3872,0.43,2.22,110.3,25.75,32.95,19.92,58.75,1.3,71.6
2000-03-20,kalinditi_001,-1.065,38.025,6.036,,4.9536,7.4614,0.44,2.31,103.3,26.04,33.89,19.46,57.97,0.26,60.3
2000-03-21,kalinditi_001,-1.065,38.025,5.651,,4.9248,7.4825,0.45,2.35,96.0,25.45,32.29,19.88,61.33,0.6,69.2
2000-03-22,kalinditi_001,-1.065,38.025,5.7662,,4.6608,7.2727,0.48,2.54,92.4,25.43,32.84,19.18,60.33,1.25,36.2
2000-03-23,kalinditi_001,-1.065,38.025,6.0749,,4.932,7.206,0.46,2.41,112.7,25.15,33.26,19.15,59.02,0.27,40.2
2000-03-24,kalinditi_001,-1.065,38.025,6.6679,,4.1544,7.4275,0.42,2.21,112.9,25.53,33.33,18.72,58.65,0.64,70.8
2000-03-25,kalinditi_001,-1.065,38.025,5.6993,,5.2944,7.326,0.42,2.21,114.3,25.3,32.95,19.11,62.82,2.07,82.3
