feature,importance,rank
clearness_idx,0.50242275,1
attenuation,0.35174552,2
month_cos,0.03605735,3
doy_cos,0.027901467,4
TempMax_2m_C,0.019459326,5
GHI_Wm2_lag1,0.010696597,6
Temp_2m_C_roll7mean,0.00779274,7
GHI_Wm2_roll30mean,0.005893147,8
doy_sin,0.00352817,9
WindDir_10m_deg,0.0034163466,10
WindSpeed_2m_ms,0.0033087695,11
CloudAmount_pct,0.003164619,12
month_sin,0.0029973725,13
WindSpeed_50m_ms,0.0024916623,14
wind_u,0.0024368705,15
WindSpeed_10m_ms,0.0021394948,16
temp_range_C,0.0014960511,17
RelHumidity_pct,0.001380991,18
GHI_Wm2_roll7mean,0.0013075871,19
WindDir_50m_deg,0.0012754783,20
Temp_2m_C_roll30mean,0.0007702679,21
clearness_idx_roll30mean,0.00057694514,22
year,0.00055345386,23
Temp_2m_C_roll30std,0.00054660166,24
TempMin_2m_C,0.00054579857,25
Precip_mm,0.00054026896,26
wind_v,0.00051309576,27
Temp_2m_C,0.0005094774,28
GHI_Wm2_roll30std,0.00046689974,29
clearness_idx_roll7mean,0.0004426691,30
GHI_Wm2_lag2,0.0004167132,31
CloudAmount_pct_roll30mean,0.0004046895,32
CloudAmount_pct_roll30std,0.00038838302,33
clearness_idx_roll30std,0.00035062135,34
GHI_Wm2_roll7std,0.00032983097,35
Temp_2m_C_roll7std,0.0003146326,36
CloudAmount_pct_roll7std,0.00030265702,37
clearness_idx_roll7std,0.00029957935,38
GHI_Wm2_lag14,0.00029068114,39
CloudAmount_pct_roll7mean,0.0002779681,40
GHI_Wm2_lag7,0.00024648246,41
