feature,importance,rank
clearness_idx,0.4183084,1
attenuation,0.39166856,2
month_cos,0.049809575,3
doy_cos,0.041816596,4
TempMax_2m_C,0.016598534,5
WindDir_50m_deg,0.007826392,6
WindSpeed_2m_ms,0.0076048234,7
month_sin,0.007088894,8
doy_sin,0.0056871865,9
GHI_Wm2_roll30mean,0.0056459717,10
wind_u,0.0050623664,11
RelHumidity_pct,0.0047531505,12
GHI_Wm2_roll7mean,0.0038946979,13
temp_range_C,0.003593562,14
GHI_Wm2_lag1,0.0031838934,15
WindDir_10m_deg,0.0030558596,16
CloudAmount_pct,0.0027218154,17
Temp_2m_C_roll7mean,0.0022602142,18
WindSpeed_10m_ms,0.0019784442,19
WindSpeed_50m_ms,0.0016383497,20
year,0.001280078,21
Precip_mm,0.0012527385,22
Temp_2m_C_roll30mean,0.0012087125,23
wind_v,0.0011943694,24
GHI_Wm2_roll30std,0.00085431855,25
GHI_Wm2_lag2,0.000830787,26
clearness_idx_roll7mean,0.0007930781,27
clearness_idx_roll30std,0.0007541009,28
Temp_2m_C,0.0007471002,29
CloudAmount_pct_roll30mean,0.0007459782,30
Temp_2m_C_roll7std,0.0006409045,31
CloudAmount_pct_roll30std,0.0006332038,32
clearness_idx_roll30mean,0.00062782445,33
Temp_2m_C_roll30std,0.00062495074,34
clearness_idx_roll7std,0.00058057345,35
TempMin_2m_C,0.00057644787,36
CloudAmount_pct_roll7std,0.00054585095,37
CloudAmount_pct_roll7mean,0.0005400883,38
GHI_Wm2_lag14,0.0005228442,39
GHI_Wm2_roll7std,0.00042631783,40
GHI_Wm2_lag7,0.0004224066,41
