year,PSH_annual_mean,GHI_annual_total_kWh_m2,Wind10m_annual_mean_ms,Precip_annual_total_mm,Temp_annual_mean_C
2000,0.00604594344262295,2.2128153000000004,4.715437158469945,301.71,20.691065573770494
2001,0.005851406575342466,2.1357633999999996,4.210849315068494,617.85,20.389972602739725
2002,0.005808258904109589,2.1200145,4.355095890410959,652.06,20.466712328767123
2003,0.005924728767123288,2.1625259999999997,4.359150684931507,576.07,20.587972602739725
2004,0.005774808743169399,2.11358,4.372677595628415,454.79,20.85745901639344
2005,0.005882322191780822,2.1470476,4.446520547945205,370.96,21.0507397260274
2006,0.005705182191780822,2.0823915000000004,4.205150684931507,847.36,20.464383561643835
2007,0.005677334246575342,2.072227,4.1318904109589045,535.55,20.37980821917808
2008,0.005827122950819672,2.132727,4.259972677595629,428.65,20.67120218579235
2009,0.006012652876712329,2.1946183,4.667671232876712,446.59,20.961890410958905
2010,0.00569293205479452,2.0779202,4.228082191780822,474.47,20.733780821917808
2011,0.00580017287671233,2.1170630999999998,4.163972602739726,527.73,20.908383561643838
2012,0.0059264885245901636,2.1690948,4.085,552.37,20.812978142076503
2013,0.005777536712328767,2.1088009000000003,4.123232876712329,577.88,20.593945205479454
2014,0.005750302465753424,2.0988604,4.2624657534246575,467.54,20.746904109589043
2015,0.005957969589041096,2.1746589,4.296986301369864,533.41,21.056684931506847
2016,0.005808857103825137,2.1260417,4.180819672131148,470.04,20.85243169398907
2017,0.00602472301369863,2.1990239000000003,4.520931506849315,437.02,21.12882191780822
2018,0.005601708493150685,2.0446236,4.15786301369863,742.54,20.11931506849315
2019,0.005901220273972603,2.1539454,4.385808219178082,612.25,21.20035616438356
2020,0.00568750956284153,2.0816285,3.918633879781421,783.85,20.314398907103826
2021,0.005672746027397261,2.0705522999999997,4.3250684931506855,462.8,20.69123287671233
2022,0.0057502863013698625,2.0988545,4.362520547945206,385.75,20.673506849315068
2023,0.005821829041095891,2.1249675999999997,4.52413698630137,717.2,20.713643835616438
