year,PSH_annual_mean,GHI_annual_total_kWh_m2,Wind10m_annual_mean_ms,Precip_annual_total_mm,Temp_annual_mean_C
2000,0.005702945355191257,2.087278,2.740928961748634,345.96,23.45795081967213
2001,0.005635203561643836,2.0568492999999997,2.5243835616438357,623.64,23.37008219178082
2002,0.005658837808219179,2.0654758,2.4775890410958907,696.12,23.28268493150685
2003,0.005731256712328767,2.0919087,2.5666301369863014,536.03,23.661972602739727
2004,0.0056347199453551915,2.0623074999999997,2.6047267759562844,462.73,23.712568306010926
2005,0.005603427123287671,2.0452509,2.653260273972603,282.49,24.063643835616435
2006,0.005584161643835616,2.0382190000000002,2.5352328767123287,860.1,23.548109589041093
2007,0.005641208767123287,2.0590412000000002,2.5284383561643837,493.71999999999997,23.575150684931508
2008,0.005576192076502732,2.0408863,2.5809562841530056,407.6,23.692814207650272
2009,0.005701794520547945,2.0811550000000003,2.6556438356164382,427.65,24.01860273972603
2010,0.0055825295890410956,2.0376233,2.5749315068493153,467.0,23.753726027397263
2011,0.00568941205479452,2.0766354000000002,2.5356164383561643,474.6,23.945150684931505
2012,0.0058078491803278684,2.1256728,2.514672131147541,519.92,23.819918032786887
2013,0.005528316438356164,2.0178355,2.568054794520548,444.61,23.73268493150685
2014,0.005557714246575343,2.0285657,2.5554794520547945,420.12,23.909479452054793
2015,0.0057799695890410965,2.1096889,2.588,456.73,24.159808219178082
2016,0.005532920491803278,2.0250489,2.554617486338798,347.48,24.181639344262294
2017,0.005768444109589041,2.1054821,2.6276712328767124,336.79,24.353534246575347
2018,0.005593650136986302,2.0416822999999997,2.5235342465753425,604.18,23.546000000000003
2019,0.005656353150684931,2.0645689000000003,2.520958904109589,619.37,24.361260273972604
2020,0.0056038207650273225,2.0509984,2.4660928961748634,547.49,23.859781420765028
2021,0.00556433095890411,2.0309808,2.5766575342465754,444.79,23.851205479452055
2022,0.005540620273972602,2.0223264,2.610054794520548,353.24,23.85005479452055
2023,0.005643117808219178,2.059738,2.5364931506849318,715.85,23.924520547945207
